customer_id,last_order_date,frequency,monetary,avg_order_value,total_refunds,refund_count,avg_review_score,avg_delivery_days,distinct_categories,total_discounts,recency_days,refund_rate,R_score,F_score,M_score,RFM_score,churned,segment,state,age_group,registration_date
CUS00024,2023-07-24,3,106365.0,35455.0,0.0,0,3.3333333333333335,1.3333333333333333,2,9135.0,342,0.0,3,2,3,8,1,at_risk,Lagos,25-34,2022-08-15
CUS00025,2022-06-14,2,40440.0,20220.0,0.0,0,3.5,2.5,1,4760.0,747,0.0,1,1,2,4,1,lost,Lagos,18-24,2022-06-10
CUS00026,2023-10-21,11,97645.0,8876.82,23868.93,1,3.8181818181818183,2.727272727272727,3,7855.0,253,0.091,3,4,2,9,1,loyal,Abuja,25-34,2023-04-05
CUS00027,2023-10-23,6,374750.0,62458.33,159403.58,1,3.5,2.5,3,25150.0,251,0.167,3,3,4,10,0,loyal,Imo,25-34,2022-08-14
CUS00028,2023-10-05,5,388540.0,77708.0,125705.89,1,3.8,3.2,3,6460.0,269,0.2,3,3,4,10,0,at_risk,Delta,45-54,2022-02-15
CUS00029,2022-06-06,1,15010.0,15010.0,0.0,0,5.0,2.0,1,790.0,755,0.0,1,1,1,3,1,lost,Abuja,25-34,2022-04-26
CUS00030,2024-01-30,12,241960.0,20163.33,8985.4,1,4.0,4.25,4,23340.0,152,0.083,4,4,4,12,0,loyal,Lagos,35-44,2022-10-15
CUS00031,2023-12-01,4,63470.0,15867.5,9944.32,1,1.75,5.5,3,1730.0,212,0.25,4,2,2,8,0,at_risk,Kaduna,25-34,2022-06-25
CUS00032,2024-01-19,3,87395.0,29131.67,69015.89,1,2.6666666666666665,3.0,3,5405.0,163,0.333,4,2,2,8,0,at_risk,Lagos,35-44,2022-02-05
CUS00033,2022-10-04,3,64965.0,21655.0,0.0,0,4.0,2.0,1,4035.0,635,0.0,1,2,2,5,1,hibernating,Anambra,25-34,2022-02-20
CUS00034,2024-05-05,10,587720.0,58772.0,106490.20999999999,3,3.1,4.7,5,19780.0,56,0.3,5,4,5,14,0,loyal,Rivers,25-34,2022-02-23
CUS00035,2023-01-18,3,66400.0,22133.33,0.0,0,3.6666666666666665,1.3333333333333333,3,0.0,529,0.0,2,2,2,6,1,hibernating,Lagos,25-34,2022-12-16
CUS00036,2022-04-21,1,10700.0,10700.0,0.0,0,4.0,3.0,1,0.0,801,0.0,1,1,1,3,1,lost,Kano,18-24,2022-02-27
CUS00037,2024-04-11,27,692790.0,25658.89,108257.26000000001,5,3.4814814814814814,2.7037037037037037,6,25210.0,80,0.185,5,5,5,15,0,champion,Abuja,25-34,2022-04-06
CUS00038,2022-12-15,2,29600.0,14800.0,0.0,0,4.0,4.0,2,0.0,563,0.0,1,1,1,3,1,hibernating,Lagos,18-24,2022-09-04
CUS00039,2024-01-02,9,300260.0,33362.22,119612.3,2,3.7777777777777777,2.888888888888889,4,5140.0,180,0.222,4,4,4,12,0,loyal,Lagos,45-54,2022-04-04
CUS00040,2024-03-17,21,357515.0,17024.52,3917.09,1,3.857142857142857,2.2857142857142856,6,17585.0,105,0.048,5,5,4,14,0,champion,Delta,25-34,2022-12-23
CUS00041,2022-12-19,2,145580.0,72790.0,0.0,0,3.5,3.0,2,23220.0,559,0.0,1,1,3,5,1,lost,Lagos,35-44,2022-11-21
CUS00042,2023-01-15,1,37300.0,37300.0,0.0,0,5.0,5.0,1,0.0,532,0.0,2,1,2,5,1,lost,Enugu,18-24,2023-01-15
CUS00043,2023-03-06,3,50000.0,16666.67,8471.38,1,2.6666666666666665,3.6666666666666665,3,7400.0,482,0.333,2,2,2,6,1,hibernating,Rivers,18-24,2022-10-12
CUS00044,2024-03-04,18,825405.0,45855.83,8780.19,1,3.6666666666666665,4.722222222222222,8,68095.0,118,0.056,5,5,5,15,0,champion,Oyo,25-34,2023-02-22
CUS00045,2023-02-21,3,29455.0,9818.33,0.0,0,4.333333333333333,4.333333333333333,2,2745.0,495,0.0,2,2,1,5,1,hibernating,Rivers,25-34,2023-01-29
CUS00046,2022-08-28,3,57780.0,19260.0,11994.72,1,4.0,3.3333333333333335,2,3120.0,672,0.333,1,2,2,5,1,hibernating,Lagos,25-34,2022-02-06
CUS00047,2023-01-23,3,42180.0,14060.0,0.0,0,4.0,2.6666666666666665,3,320.0,524,0.0,2,2,2,6,1,hibernating,Lagos,25-34,2022-12-08
CUS00048,2024-06-16,26,806555.0,31021.35,42441.380000000005,3,3.769230769230769,2.423076923076923,7,43045.0,14,0.115,5,5,5,15,0,champion,Imo,25-34,2023-01-19
CUS00049,2023-09-11,9,133765.0,14862.78,10026.96,1,4.0,4.444444444444445,5,9335.0,293,0.111,3,4,3,10,1,at_risk,Lagos,35-44,2022-05-31
CUS00050,2022-09-06,1,3700.0,3700.0,0.0,0,4.0,5.0,1,0.0,663,0.0,1,1,1,3,1,lost,Imo,35-44,2022-08-23
CUS00051,2022-10-12,2,38855.0,19427.5,0.0,0,3.5,2.0,2,2045.0,627,0.0,1,1,2,4,1,hibernating,Anambra,18-24,2022-06-17
CUS00052,2024-03-11,18,659500.0,36638.89,24594.83,2,3.611111111111111,4.333333333333333,5,30200.0,111,0.111,5,5,5,15,0,champion,Kano,35-44,2022-12-08
CUS00053,2022-08-18,3,215060.0,71686.67,0.0,0,4.333333333333333,2.3333333333333335,2,7440.0,682,0.0,1,2,4,7,1,hibernating,Abuja,25-34,2022-04-01
CUS00054,2023-05-28,3,70800.0,23600.0,0.0,0,3.0,4.0,2,2900.0,399,0.0,2,2,2,6,1,at_risk,Lagos,18-24,2023-04-01
CUS00055,2022-11-27,1,3300.0,3300.0,0.0,0,5.0,2.0,1,0.0,581,0.0,1,1,1,3,1,hibernating,Lagos,55+,2022-04-27
CUS00056,2023-02-04,3,261280.0,87093.33,6906.13,1,2.6666666666666665,2.3333333333333335,2,19420.0,512,0.333,2,2,4,8,1,at_risk,Abuja,35-44,2022-08-15
CUS00057,2023-12-29,6,66355.0,11059.17,17624.89,1,3.1666666666666665,1.6666666666666667,2,3545.0,184,0.167,4,3,2,9,0,at_risk,Oyo,18-24,2023-04-16
CUS00058,2024-02-06,29,1309315.0,45148.79,242325.45,8,3.103448275862069,2.586206896551724,7,91085.0,145,0.276,4,5,5,14,0,champion,Abuja,25-34,2022-03-31
CUS00059,2024-01-16,24,495080.0,20628.33,34131.72,3,3.3333333333333335,2.5833333333333335,6,35220.0,166,0.125,4,5,5,14,0,champion,Imo,35-44,2023-04-06
CUS00060,2024-05-14,29,739745.0,25508.45,27466.58,4,3.896551724137931,2.3448275862068964,6,45555.0,47,0.138,5,5,5,15,0,champion,Enugu,45-54,2022-01-10
CUS00061,2024-01-08,11,204835.0,18621.36,11634.61,1,4.090909090909091,2.3636363636363638,6,20065.0,174,0.091,4,4,4,12,0,loyal,Abuja,25-34,2022-10-09
CUS00062,2023-06-18,1,30700.0,30700.0,0.0,0,5.0,4.0,1,0.0,378,0.0,2,1,1,4,1,hibernating,Kano,35-44,2023-06-02
CUS00063,2022-06-17,1,4480.0,4480.0,0.0,0,4.0,6.0,1,1120.0,744,0.0,1,1,1,3,1,lost,Rivers,25-34,2022-05-25
CUS00064,2022-12-14,1,18525.0,18525.0,0.0,0,3.0,1.0,1,975.0,564,0.0,1,1,1,3,1,lost,Rivers,25-34,2022-12-14
CUS00065,2024-01-15,8,113795.0,14224.38,0.0,0,4.25,4.875,4,12905.0,167,0.0,4,3,3,10,0,at_risk,Kano,25-34,2022-08-24
CUS00066,2023-12-06,8,436860.0,54607.5,0.0,0,4.125,2.875,3,42740.0,207,0.0,4,3,5,12,1,at_risk,Lagos,18-24,2022-03-16
CUS00067,2024-04-02,17,523915.0,30818.53,53575.73,2,3.7058823529411766,2.5294117647058822,6,45485.0,89,0.118,5,5,5,15,0,champion,Abuja,35-44,2023-03-23
CUS00068,2023-10-03,6,287415.0,47902.5,17728.54,1,3.5,2.8333333333333335,3,4285.0,271,0.167,3,3,4,10,1,loyal,Rivers,45-54,2022-07-03
CUS00069,2022-06-14,1,15660.0,15660.0,0.0,0,3.0,4.0,1,1740.0,747,0.0,1,1,1,3,1,lost,Kano,18-24,2022-04-21
CUS00070,2023-12-16,16,496945.0,31059.06,16491.84,1,3.6875,2.4375,7,28655.0,197,0.062,4,5,5,14,0,loyal,Lagos,45-54,2022-07-14
CUS00071,2023-07-13,1,17400.0,17400.0,0.0,0,3.0,4.0,1,0.0,353,0.0,3,1,1,5,1,lost,Rivers,18-24,2023-06-18
CUS00072,2023-07-04,9,160895.0,17877.22,0.0,0,4.222222222222222,3.4444444444444446,4,12005.0,362,0.0,3,4,3,10,1,at_risk,Lagos,18-24,2022-03-14
CUS00073,2023-05-06,3,294550.0,98183.33,0.0,0,4.0,3.0,1,40050.0,421,0.0,2,2,4,8,1,hibernating,Kano,18-24,2022-09-14
CUS00074,2022-04-02,1,4000.0,4000.0,0.0,0,3.0,5.0,1,0.0,820,0.0,1,1,1,3,1,lost,Kano,25-34,2022-03-19
CUS00075,2024-05-13,17,395310.0,23253.53,162341.18,3,3.6470588235294117,2.1176470588235294,8,36990.0,48,0.176,5,5,4,14,0,champion,Lagos,18-24,2023-05-23
CUS00076,2023-09-14,17,308670.0,18157.06,25862.5,2,3.823529411764706,2.764705882352941,5,18230.0,290,0.118,3,5,4,12,1,loyal,Lagos,18-24,2022-08-19
CUS00077,2022-05-03,2,46640.0,23320.0,0.0,0,4.5,2.0,2,9060.0,789,0.0,1,1,2,4,1,lost,Rivers,35-44,2022-04-21
CUS00078,2023-12-16,5,38150.0,7630.0,5753.780000000001,2,3.6,2.6,2,1650.0,197,0.4,4,3,2,9,0,at_risk,Rivers,35-44,2022-10-09
CUS00079,2022-12-22,2,24530.0,12265.0,0.0,0,4.5,3.5,2,470.0,556,0.0,1,1,1,3,1,lost,Lagos,18-24,2022-12-16
CUS00080,2024-05-03,9,537430.0,59714.44,4838.12,1,3.6666666666666665,3.111111111111111,5,24570.0,58,0.111,5,4,5,14,0,loyal,Kaduna,45-54,2022-08-11
CUS00081,2023-03-27,1,4560.0,4560.0,0.0,0,3.0,2.0,1,240.0,461,0.0,2,1,1,4,1,lost,Lagos,35-44,2023-03-17
CUS00082,2023-11-08,17,936885.0,55110.88,9682.99,1,3.6470588235294117,2.5294117647058822,6,65415.0,235,0.059,4,5,5,14,1,loyal,Delta,35-44,2022-08-13
CUS00083,2022-10-15,2,29060.0,14530.0,0.0,0,4.0,3.0,2,3040.0,624,0.0,1,1,1,3,1,hibernating,Delta,18-24,2022-09-16
CUS00084,2023-12-18,3,275690.0,91896.67,118466.6,1,4.0,3.3333333333333335,2,15910.0,195,0.333,4,2,4,10,0,at_risk,Kano,35-44,2022-11-15
CUS00085,2023-08-29,4,121050.0,30262.5,0.0,0,4.5,2.25,3,4050.0,306,0.0,3,2,3,8,1,at_risk,Kano,35-44,2022-11-14
CUS00086,2024-05-13,14,180540.0,12895.71,63998.16,3,3.2142857142857144,2.857142857142857,4,6560.0,48,0.214,5,4,3,12,0,loyal,Abuja,18-24,2022-12-15
CUS00087,2024-04-14,14,579850.0,41417.86,14293.13,1,3.857142857142857,5.214285714285714,6,44850.0,77,0.071,5,4,5,14,0,loyal,Lagos,45-54,2023-02-14
CUS00088,2023-10-09,9,93455.0,10383.89,0.0,0,3.888888888888889,2.6666666666666665,3,4145.0,265,0.0,3,4,2,9,1,at_risk,Oyo,25-34,2023-02-26
CUS00089,2023-10-18,5,203815.0,40763.0,26073.82,1,3.8,2.2,3,10585.0,256,0.2,3,3,4,10,1,at_risk,Abuja,35-44,2022-04-14
CUS00090,2022-10-25,1,26220.0,26220.0,0.0,0,4.0,4.0,1,1380.0,614,0.0,1,1,1,3,1,lost,Rivers,25-34,2022-10-16
CUS00091,2024-01-22,15,393985.0,26265.67,73299.06,2,3.7333333333333334,2.8,5,37615.0,160,0.133,4,5,4,13,0,loyal,Abuja,25-34,2023-06-06
CUS00092,2022-06-17,1,13965.0,13965.0,0.0,0,5.0,4.0,1,735.0,744,0.0,1,1,1,3,1,hibernating,Lagos,25-34,2022-06-06
CUS00093,2024-01-01,5,383045.0,76609.0,0.0,0,4.2,1.8,3,51855.0,181,0.0,4,3,4,11,0,at_risk,Delta,25-34,2022-10-10
CUS00094,2023-02-09,2,26100.0,13050.0,10085.95,1,3.5,3.0,1,0.0,507,0.5,2,1,1,4,1,lost,Rivers,45-54,2023-01-31
CUS00095,2023-09-07,7,311185.0,44455.0,12202.59,1,3.4285714285714284,2.857142857142857,4,9315.0,297,0.143,3,3,4,10,1,at_risk,Lagos,35-44,2022-11-20
CUS00096,2024-05-23,16,524840.0,32802.5,24286.54,2,4.0625,4.75,7,45760.0,38,0.125,5,5,5,15,0,loyal,Rivers,45-54,2022-10-23
CUS00097,2024-03-12,32,776535.0,24266.72,141039.08,6,3.6875,2.5625,7,37965.0,110,0.188,5,5,5,15,0,champion,Imo,35-44,2023-01-06
CUS00098,2024-04-17,11,386290.0,35117.27,53528.82,2,3.3636363636363638,1.9090909090909092,7,39110.0,74,0.182,5,4,4,13,0,loyal,Anambra,45-54,2023-06-21
CUS00099,2023-11-14,9,388035.0,43115.0,24343.43,1,3.5555555555555554,2.3333333333333335,4,23665.0,229,0.111,4,4,4,12,1,at_risk,Enugu,18-24,2022-07-01
CUS00100,2023-03-15,3,54935.0,18311.67,1713.22,1,2.3333333333333335,1.6666666666666667,2,2565.0,473,0.333,2,2,2,6,1,at_risk,Enugu,18-24,2022-06-05
CUS00101,2023-11-24,7,203055.0,29007.86,32296.15,2,3.5714285714285716,2.142857142857143,4,10545.0,219,0.286,4,3,3,10,0,at_risk,Rivers,35-44,2022-11-23
CUS00102,2023-05-30,5,56175.0,11235.0,9012.63,1,3.0,2.6,4,825.0,397,0.2,2,3,2,7,1,at_risk,Anambra,25-34,2023-04-22
CUS00103,2024-05-16,9,153370.0,17041.11,25223.95,2,3.6666666666666665,2.111111111111111,5,3830.0,45,0.222,5,4,3,12,0,loyal,Oyo,25-34,2022-08-10
CUS00104,2023-01-19,1,33600.0,33600.0,0.0,0,3.0,1.0,1,0.0,528,0.0,2,1,1,4,1,lost,Enugu,35-44,2023-01-15
CUS00105,2023-04-23,2,181090.0,90545.0,0.0,0,4.0,1.5,1,13810.0,434,0.0,2,1,3,6,1,hibernating,Oyo,25-34,2023-03-19
CUS00106,2022-11-19,2,64220.0,32110.0,36493.35,1,3.0,4.0,2,8280.0,589,0.5,1,1,2,4,1,hibernating,Lagos,55+,2022-04-06
CUS00107,2024-05-20,27,772090.0,28595.93,132317.98,5,3.740740740740741,2.1481481481481484,6,61210.0,41,0.185,5,5,5,15,0,champion,Abuja,45-54,2022-05-31
CUS00108,2023-06-28,2,10715.0,5357.5,0.0,0,4.5,2.0,2,885.0,368,0.0,3,1,1,5,1,lost,Oyo,25-34,2023-06-07
CUS00109,2023-06-11,5,233840.0,46768.0,84448.20000000001,2,3.8,2.4,2,10960.0,385,0.4,2,3,4,9,1,at_risk,Lagos,45-54,2022-08-14
CUS00110,2022-05-20,1,32600.0,32600.0,0.0,0,5.0,4.0,1,0.0,772,0.0,1,1,1,3,1,lost,Kano,25-34,2022-04-25
CUS00111,2023-03-28,2,128350.0,64175.0,0.0,0,3.5,3.5,1,5750.0,460,0.0,2,1,3,6,1,hibernating,Abuja,45-54,2023-03-18
CUS00112,2022-08-03,1,19980.0,19980.0,0.0,0,4.0,2.0,1,2220.0,697,0.0,1,1,1,3,1,hibernating,Anambra,25-34,2022-02-03
CUS00113,2023-11-02,14,765245.0,54660.36,28425.07,1,3.5714285714285716,3.9285714285714284,5,42455.0,241,0.071,4,4,5,13,0,loyal,Lagos,25-34,2022-06-17
CUS00114,2023-01-14,1,27030.0,27030.0,0.0,0,5.0,2.0,1,4770.0,533,0.0,2,1,1,4,1,hibernating,Abuja,18-24,2022-12-29
CUS00115,2024-01-17,12,182285.0,15190.42,24622.89,4,3.5,2.4166666666666665,6,9215.0,165,0.333,4,4,3,11,0,loyal,Lagos,55+,2022-08-15
CUS00116,2023-04-26,1,6745.0,6745.0,4093.78,1,3.0,2.0,1,355.0,431,1.0,2,1,1,4,1,lost,Lagos,35-44,2023-04-12
CUS00117,2023-06-01,3,29200.0,9733.33,0.0,0,4.666666666666667,2.6666666666666665,2,2600.0,395,0.0,2,2,1,5,1,at_risk,Rivers,35-44,2022-10-23
CUS00118,2022-08-14,2,33080.0,16540.0,13224.8,1,2.5,3.5,1,4120.0,686,0.5,1,1,1,3,1,hibernating,Abuja,55+,2022-06-21
CUS00119,2024-04-08,13,195415.0,15031.92,17228.38,1,3.6153846153846154,2.5384615384615383,7,13485.0,83,0.077,5,4,3,12,0,loyal,Lagos,18-24,2023-05-12
CUS00120,2023-07-28,9,232505.0,25833.89,151819.14,4,3.3333333333333335,2.4444444444444446,5,28495.0,338,0.444,3,4,4,11,1,at_risk,Delta,25-34,2023-04-11
CUS00121,2022-09-11,2,41180.0,20590.0,0.0,0,3.5,2.0,2,1820.0,658,0.0,1,1,2,4,1,lost,Enugu,45-54,2022-03-27
CUS00122,2022-12-01,3,18230.0,6076.67,0.0,0,4.666666666666667,2.3333333333333335,2,470.0,577,0.0,1,2,1,4,1,hibernating,Lagos,45-54,2022-08-11
CUS00123,2024-03-16,34,869790.0,25582.06,229907.75,8,3.4705882352941178,2.4411764705882355,8,21710.0,106,0.235,5,5,5,15,0,champion,Rivers,25-34,2022-06-20
CUS00124,2023-04-03,4,106580.0,26645.0,2339.56,1,3.0,4.75,4,1720.0,454,0.25,2,2,3,7,1,at_risk,Anambra,45-54,2022-06-10
CUS00125,2023-09-25,8,156550.0,19568.75,27435.14,1,3.375,4.375,3,10450.0,279,0.125,3,3,3,9,1,loyal,Lagos,25-34,2022-05-21
CUS00126,2024-05-13,26,1612615.0,62023.65,6001.1,1,3.576923076923077,2.8461538461538463,6,95585.0,48,0.038,5,5,5,15,0,champion,Lagos,45-54,2022-09-29
CUS00127,2022-10-09,2,42300.0,21150.0,4980.4,1,3.0,2.5,2,1900.0,630,0.5,1,1,2,4,1,hibernating,Abuja,25-34,2022-01-03
CUS00128,2023-11-29,16,848645.0,53040.31,55863.25,1,3.75,2.375,5,58155.0,214,0.062,4,5,5,14,1,loyal,Lagos,18-24,2022-12-10
CUS00129,2024-01-27,14,354705.0,25336.07,19745.69,1,3.9285714285714284,2.5714285714285716,6,40195.0,155,0.071,4,4,4,12,0,loyal,Rivers,35-44,2022-03-03
CUS00130,2023-05-10,1,8360.0,8360.0,0.0,0,4.0,1.0,1,440.0,417,0.0,2,1,1,4,1,lost,Lagos,18-24,2023-05-08
CUS00131,2023-06-23,6,234005.0,39000.83,0.0,0,3.8333333333333335,4.166666666666667,5,11895.0,373,0.0,3,3,4,10,1,loyal,Lagos,55+,2022-02-23
CUS00132,2022-05-26,1,142025.0,142025.0,0.0,0,4.0,4.0,1,7475.0,766,0.0,1,1,3,5,1,lost,Imo,55+,2022-03-03
CUS00133,2023-09-05,3,15400.0,5133.33,0.0,0,3.3333333333333335,2.6666666666666665,2,100.0,299,0.0,3,2,1,6,1,at_risk,Rivers,18-24,2022-12-23
CUS00134,2024-05-14,22,371800.0,16900.0,16042.529999999999,2,3.6363636363636362,4.909090909090909,8,16100.0,47,0.091,5,5,4,14,0,champion,Kaduna,45-54,2022-02-09
CUS00135,2023-12-09,17,373665.0,21980.29,11449.68,1,4.176470588235294,2.8823529411764706,8,16535.0,204,0.059,4,5,4,13,1,loyal,Lagos,18-24,2022-11-12
CUS00136,2024-03-03,24,486435.0,20268.12,13806.16,2,3.5833333333333335,2.6666666666666665,7,40365.0,119,0.083,5,5,5,15,0,champion,Kaduna,35-44,2022-02-09
CUS00137,2022-12-29,1,13700.0,13700.0,0.0,0,3.0,6.0,1,0.0,549,0.0,1,1,1,3,1,lost,Anambra,25-34,2022-12-29
CUS00138,2024-03-19,21,1154960.0,54998.1,119864.84,1,3.5714285714285716,2.142857142857143,6,38040.0,103,0.048,5,5,5,15,0,champion,Oyo,45-54,2022-01-31
CUS00139,2024-01-20,16,934685.0,58417.81,89048.81999999999,2,3.625,4.125,7,80315.0,162,0.125,4,5,5,14,0,loyal,Enugu,18-24,2023-06-08
CUS00140,2023-06-21,9,200490.0,22276.67,8033.92,1,3.4444444444444446,4.333333333333333,5,5510.0,375,0.111,3,4,3,10,1,at_risk,Lagos,25-34,2022-11-22
CUS00141,2023-10-12,6,40465.0,6744.17,7054.58,1,4.0,4.666666666666667,5,4535.0,262,0.167,3,3,2,8,0,at_risk,Anambra,45-54,2022-10-05
CUS00142,2022-03-29,1,8730.0,8730.0,5992.67,1,3.0,2.0,1,970.0,824,1.0,1,1,1,3,1,lost,Lagos,35-44,2022-01-22
CUS00143,2023-01-18,1,18500.0,18500.0,0.0,0,3.0,4.0,1,0.0,529,0.0,2,1,1,4,1,lost,Imo,25-34,2023-01-16
CUS00144,2023-12-03,9,75765.0,8418.33,11985.85,2,3.5555555555555554,3.111111111111111,4,5735.0,210,0.222,4,4,2,10,0,loyal,Kano,25-34,2023-03-06
CUS00145,2023-03-31,6,136900.0,22816.67,42993.07,1,4.0,3.0,3,0.0,457,0.167,2,3,3,8,1,at_risk,Lagos,35-44,2022-05-10
CUS00146,2024-01-13,31,732195.0,23619.19,43992.61,4,3.806451612903226,4.903225806451613,8,65005.0,169,0.129,4,5,5,14,0,champion,Kaduna,25-34,2022-10-30
CUS00147,2022-08-01,1,5100.0,5100.0,0.0,0,3.0,4.0,1,0.0,699,0.0,1,1,1,3,1,hibernating,Abuja,18-24,2022-06-11
CUS00148,2023-08-17,5,49460.0,9892.0,0.0,0,3.2,2.4,2,2640.0,318,0.0,3,3,2,8,1,at_risk,Kano,18-24,2022-11-05
CUS00149,2023-05-11,8,73010.0,9126.25,5944.0,1,3.875,2.75,3,3690.0,416,0.125,2,3,2,7,1,at_risk,Lagos,35-44,2023-01-13
CUS00150,2023-07-22,5,175965.0,35193.0,15555.81,1,4.0,2.6,4,12135.0,344,0.2,3,3,3,9,1,at_risk,Lagos,25-34,2023-05-16
CUS00151,2023-11-30,7,508960.0,72708.57,104028.88,2,3.142857142857143,1.8571428571428572,3,22940.0,213,0.286,4,3,5,12,0,at_risk,Lagos,25-34,2022-06-15
CUS00152,2023-02-22,2,152800.0,76400.0,41840.44,1,3.0,2.5,1,0.0,494,0.5,2,1,3,6,1,lost,Delta,18-24,2023-02-05
CUS00153,2023-08-14,13,835660.0,64281.54,68196.33,2,3.6923076923076925,4.769230769230769,5,40540.0,321,0.154,3,4,5,12,0,champion,Kano,25-34,2022-08-30
CUS00154,2022-07-03,2,41570.0,20785.0,0.0,0,4.0,2.5,2,2630.0,728,0.0,1,1,2,4,1,lost,Lagos,25-34,2022-06-15
CUS00155,2023-02-08,3,367720.0,122573.33,93020.95,1,3.3333333333333335,3.0,1,9480.0,508,0.333,2,2,4,8,1,hibernating,Lagos,45-54,2022-01-09
CUS00156,2023-05-11,9,317290.0,35254.44,0.0,0,3.6666666666666665,4.555555555555555,3,24510.0,416,0.0,2,4,4,10,1,at_risk,Oyo,35-44,2022-11-14
CUS00157,2022-08-16,2,26230.0,13115.0,0.0,0,4.5,3.0,1,5470.0,684,0.0,1,1,1,3,1,hibernating,Rivers,25-34,2022-05-07
CUS00158,2024-04-08,25,746195.0,29847.8,0.0,0,3.68,4.0,8,53705.0,83,0.0,5,5,5,15,0,champion,Lagos,25-34,2022-05-02
CUS00159,2023-01-05,3,61800.0,20600.0,0.0,0,3.3333333333333335,4.0,3,0.0,542,0.0,1,2,2,5,1,hibernating,Kaduna,25-34,2022-12-18
