customer_id,segment,state,preferred_category,preferred_channel,preferred_payment,registration_date,age_group,n_orders,last_purchase_date,churned
CUS00081,lost,Lagos,Baby & Kids,Mobile App,Pay on Delivery,2023-03-17,35-44,1,2022-01-26,1
CUS00082,loyal,Delta,Electronics,Mobile App,Bank Transfer,2022-08-13,35-44,17,2023-11-16,1
CUS00083,hibernating,Delta,Electronics,Mobile App,Wallet,2022-09-16,18-24,2,2022-09-10,1
CUS00084,at_risk,Kano,Electronics,Web,Card,2022-11-15,35-44,3,2024-02-20,0
CUS00085,at_risk,Kano,Fashion,Mobile App,Wallet,2022-11-14,35-44,4,2023-10-15,1
CUS00086,loyal,Abuja,Books & Media,Web,Card,2022-12-15,18-24,14,2024-05-16,0
CUS00087,loyal,Lagos,Electronics,Web,Pay on Delivery,2023-02-14,45-54,14,2024-05-24,0
CUS00088,at_risk,Oyo,Food & Groceries,Web,Wallet,2023-02-26,25-34,9,2023-10-21,1
CUS00089,at_risk,Abuja,Fashion,Mobile App,Card,2022-04-14,35-44,5,2023-12-15,1
CUS00090,lost,Rivers,Fashion,Mobile App,Pay on Delivery,2022-10-16,25-34,1,2022-06-06,1
CUS00091,loyal,Abuja,Fashion,Web,Card,2023-06-06,25-34,15,2024-01-26,0
CUS00092,hibernating,Lagos,Sports & Outdoors,Mobile App,Bank Transfer,2022-06-06,25-34,1,2022-10-17,1
CUS00093,at_risk,Delta,Electronics,Web,Bank Transfer,2022-10-10,25-34,5,2024-02-09,0
CUS00094,lost,Rivers,Fashion,Mobile App,Wallet,2023-01-31,45-54,2,2022-07-29,1
CUS00095,at_risk,Lagos,Sports & Outdoors,Social Commerce,Bank Transfer,2022-11-20,35-44,7,2023-10-05,1
CUS00096,loyal,Rivers,Home & Kitchen,Mobile App,Pay on Delivery,2022-10-23,45-54,16,2024-06-13,0
CUS00097,champion,Imo,Sports & Outdoors,Mobile App,Wallet,2023-01-06,35-44,32,2024-03-24,0
CUS00098,loyal,Anambra,Electronics,Mobile App,Bank Transfer,2023-06-21,45-54,11,2024-04-27,0
CUS00099,at_risk,Enugu,Home & Kitchen,Mobile App,Wallet,2022-07-01,18-24,9,2023-11-27,1
CUS00100,at_risk,Enugu,Fashion,Web,Bank Transfer,2022-06-05,18-24,3,2023-08-23,1
CUS00101,at_risk,Rivers,Sports & Outdoors,Mobile App,Card,2022-11-23,35-44,7,2024-01-01,0
CUS00102,at_risk,Anambra,Fashion,Mobile App,Bank Transfer,2023-04-22,25-34,5,2023-06-18,1
CUS00103,loyal,Oyo,Food & Groceries,Mobile App,Bank Transfer,2022-08-10,25-34,9,2024-06-20,0
CUS00104,lost,Enugu,Fashion,Mobile App,Bank Transfer,2023-01-15,35-44,1,2022-10-15,1
CUS00105,hibernating,Oyo,Electronics,Mobile App,Card,2023-03-19,25-34,2,2023-05-07,1
CUS00106,hibernating,Lagos,Home & Kitchen,Mobile App,Card,2022-04-06,55+,2,2023-02-12,1
CUS00107,champion,Abuja,Fashion,Mobile App,Bank Transfer,2022-05-31,45-54,27,2024-06-04,0
CUS00108,lost,Oyo,Beauty & Personal Care,Social Commerce,Bank Transfer,2023-06-07,25-34,2,2022-07-14,1
CUS00109,at_risk,Lagos,Home & Kitchen,Mobile App,Bank Transfer,2022-08-14,45-54,5,2023-08-20,1
CUS00110,lost,Kano,Sports & Outdoors,Web,Bank Transfer,2022-04-25,25-34,1,2022-02-09,1
CUS00111,hibernating,Abuja,Electronics,Web,Bank Transfer,2023-03-18,45-54,2,2023-04-03,1
CUS00112,hibernating,Anambra,Food & Groceries,Web,Bank Transfer,2022-02-03,25-34,1,2022-11-15,1
CUS00113,loyal,Lagos,Electronics,Social Commerce,Pay on Delivery,2022-06-17,25-34,14,2024-03-21,0
CUS00114,hibernating,Abuja,Beauty & Personal Care,Mobile App,Card,2022-12-29,18-24,1,2022-09-29,1
CUS00115,loyal,Lagos,Fashion,Web,Card,2022-08-15,55+,12,2024-01-19,0
CUS00116,lost,Lagos,Food & Groceries,Mobile App,Bank Transfer,2023-04-12,35-44,1,2022-12-03,1
CUS00117,at_risk,Rivers,Fashion,Web,Card,2022-10-23,35-44,3,2023-07-31,1
CUS00118,hibernating,Abuja,Fashion,Web,Pay on Delivery,2022-06-21,55+,2,2022-09-12,1
CUS00119,loyal,Lagos,Books & Media,Mobile App,Wallet,2023-05-12,18-24,13,2024-06-20,0
CUS00120,at_risk,Delta,Beauty & Personal Care,Web,Wallet,2023-04-11,25-34,9,2023-07-29,1
CUS00121,lost,Enugu,Electronics,Web,Wallet,2022-03-27,45-54,2,2022-12-01,1
CUS00122,hibernating,Lagos,Books & Media,Social Commerce,Wallet,2022-08-11,45-54,3,2022-12-12,1
CUS00123,champion,Rivers,Fashion,Mobile App,Card,2022-06-20,25-34,34,2024-05-18,0
CUS00124,at_risk,Anambra,Food & Groceries,Web,Pay on Delivery,2022-06-10,45-54,4,2023-09-16,1
CUS00125,loyal,Lagos,Sports & Outdoors,Mobile App,Pay on Delivery,2022-05-21,25-34,8,2023-11-08,1
CUS00126,champion,Lagos,Electronics,Mobile App,Bank Transfer,2022-09-29,45-54,26,2024-05-31,0
CUS00127,hibernating,Abuja,Food & Groceries,Web,Card,2022-01-03,25-34,2,2023-01-24,1
CUS00128,loyal,Lagos,Electronics,Social Commerce,Bank Transfer,2022-12-10,18-24,16,2023-11-30,1
CUS00129,loyal,Rivers,Baby & Kids,Social Commerce,Bank Transfer,2022-03-03,35-44,14,2024-04-16,0
CUS00130,lost,Lagos,Books & Media,Web,Bank Transfer,2023-05-08,18-24,1,2022-08-14,1
CUS00131,loyal,Lagos,Baby & Kids,Web,Pay on Delivery,2022-02-23,55+,6,2023-10-09,1
CUS00132,lost,Imo,Electronics,Mobile App,Pay on Delivery,2022-03-03,55+,1,2022-06-09,1
CUS00133,at_risk,Rivers,Beauty & Personal Care,Mobile App,Wallet,2022-12-23,18-24,3,2023-10-01,1
CUS00134,champion,Kaduna,Baby & Kids,Social Commerce,Pay on Delivery,2022-02-09,45-54,22,2024-06-03,0
CUS00135,loyal,Lagos,Beauty & Personal Care,Mobile App,Card,2022-11-12,18-24,17,2023-12-20,1
CUS00136,champion,Kaduna,Food & Groceries,Social Commerce,Bank Transfer,2022-02-09,35-44,24,2024-03-04,0
CUS00137,lost,Anambra,Home & Kitchen,Social Commerce,Pay on Delivery,2022-12-29,25-34,1,2022-06-19,1
CUS00138,champion,Oyo,Electronics,Social Commerce,Wallet,2022-01-31,45-54,21,2024-05-17,0
CUS00139,loyal,Enugu,Electronics,Web,Pay on Delivery,2023-06-08,18-24,16,2024-01-21,0
CUS00140,at_risk,Lagos,Fashion,Mobile App,Pay on Delivery,2022-11-22,25-34,9,2023-08-13,1
CUS00141,at_risk,Anambra,Fashion,Mobile App,Pay on Delivery,2022-10-05,45-54,6,2024-01-28,0
CUS00142,lost,Lagos,Beauty & Personal Care,Web,Bank Transfer,2022-01-22,35-44,1,2022-07-29,1
CUS00143,lost,Imo,Baby & Kids,Web,Card,2023-01-16,25-34,1,2022-02-02,1
CUS00144,loyal,Kano,Beauty & Personal Care,Web,Bank Transfer,2023-03-06,25-34,9,2024-01-07,0
CUS00145,at_risk,Lagos,Beauty & Personal Care,Web,Card,2022-05-10,35-44,6,2023-06-22,1
CUS00146,champion,Kaduna,Baby & Kids,Mobile App,Pay on Delivery,2022-10-30,25-34,31,2024-02-06,0
CUS00147,hibernating,Abuja,Fashion,Mobile App,Pay on Delivery,2022-06-11,18-24,1,2022-09-12,1
CUS00148,at_risk,Kano,Food & Groceries,Mobile App,Card,2022-11-05,18-24,5,2023-11-21,1
CUS00149,at_risk,Lagos,Beauty & Personal Care,Mobile App,Wallet,2023-01-13,35-44,8,2023-06-15,1
CUS00150,at_risk,Lagos,Electronics,Web,Bank Transfer,2023-05-16,25-34,5,2023-08-03,1
CUS00151,at_risk,Lagos,Electronics,Mobile App,Bank Transfer,2022-06-15,25-34,7,2024-01-03,0
CUS00152,lost,Delta,Electronics,Mobile App,Card,2023-02-05,18-24,2,2022-06-09,1
CUS00153,champion,Kano,Electronics,Mobile App,Pay on Delivery,2022-08-30,25-34,13,2024-03-04,0
CUS00154,lost,Lagos,Sports & Outdoors,Mobile App,Card,2022-06-15,25-34,2,2022-05-02,1
CUS00155,hibernating,Lagos,Electronics,Mobile App,Bank Transfer,2022-01-09,45-54,3,2023-04-11,1
CUS00156,at_risk,Oyo,Sports & Outdoors,Web,Pay on Delivery,2022-11-14,35-44,9,2023-06-07,1
CUS00157,hibernating,Rivers,Home & Kitchen,Web,Bank Transfer,2022-05-07,25-34,2,2022-09-14,1
CUS00158,champion,Lagos,Fashion,Mobile App,Pay on Delivery,2022-05-02,25-34,25,2024-05-10,0
CUS00159,hibernating,Kaduna,Food & Groceries,Mobile App,Card,2022-12-18,25-34,3,2023-01-09,1
CUS00160,champion,Abuja,Fashion,Mobile App,Card,2022-11-28,18-24,32,2024-02-24,0
CUS00161,at_risk,Abuja,Fashion,Social Commerce,Card,2023-02-24,18-24,4,2024-01-14,0
CUS00162,lost,Enugu,Food & Groceries,Mobile App,Bank Transfer,2022-09-03,25-34,1,2022-08-25,1
CUS00163,at_risk,Anambra,Fashion,Web,Bank Transfer,2023-04-23,18-24,6,2023-06-14,1
CUS00164,lost,Lagos,Sports & Outdoors,Mobile App,Card,2023-01-16,25-34,2,2022-08-19,1
CUS00165,loyal,Rivers,Electronics,Mobile App,Wallet,2022-03-07,45-54,10,2024-03-12,0
CUS00166,lost,Kano,Fashion,Mobile App,Card,2022-12-27,25-34,2,2022-09-21,1
CUS00167,at_risk,Oyo,Electronics,Mobile App,Card,2022-07-23,25-34,3,2023-09-28,1
CUS00168,hibernating,Rivers,Sports & Outdoors,Mobile App,Card,2022-11-30,18-24,3,2022-09-20,1
CUS00169,champion,Oyo,Fashion,Mobile App,Card,2022-06-10,25-34,25,2024-02-12,0
CUS00170,champion,Imo,Baby & Kids,Mobile App,Wallet,2022-11-02,55+,18,2024-03-09,0
CUS00171,champion,Lagos,Fashion,Web,Card,2023-01-10,18-24,32,2024-06-08,0
CUS00172,hibernating,Lagos,Fashion,Social Commerce,Card,2022-07-12,45-54,2,2022-12-23,1
CUS00173,loyal,Anambra,Sports & Outdoors,Web,Card,2022-12-11,35-44,6,2023-10-01,1
CUS00174,loyal,Oyo,Fashion,Web,Card,2022-08-08,18-24,11,2023-12-02,1
CUS00175,lost,Abuja,Sports & Outdoors,Web,Bank Transfer,2023-05-04,18-24,2,2022-04-12,1
CUS00176,loyal,Oyo,Beauty & Personal Care,Web,Pay on Delivery,2022-12-31,35-44,13,2023-12-28,1
CUS00177,loyal,Rivers,Home & Kitchen,Web,Bank Transfer,2023-04-18,35-44,6,2024-01-10,0
CUS00178,champion,Rivers,Home & Kitchen,Web,Bank Transfer,2022-01-03,25-34,19,2024-03-19,0
CUS00179,hibernating,Enugu,Beauty & Personal Care,Mobile App,Card,2022-10-31,35-44,3,2022-10-13,1
CUS00180,hibernating,Anambra,Beauty & Personal Care,Social Commerce,Card,2023-02-11,25-34,3,2022-12-26,1
CUS00181,lost,Lagos,Books & Media,Mobile App,Wallet,2023-04-15,18-24,2,2022-02-21,1
CUS00182,hibernating,Enugu,Food & Groceries,Web,Card,2022-01-02,25-34,2,2023-05-21,1
CUS00183,hibernating,Lagos,Food & Groceries,Web,Card,2023-03-21,25-34,2,2023-05-21,1
CUS00184,hibernating,Abuja,Food & Groceries,Mobile App,Card,2022-04-28,25-34,1,2022-09-26,1
CUS00185,loyal,Rivers,Fashion,Web,Wallet,2022-02-18,25-34,10,2023-12-07,1
CUS00186,loyal,Anambra,Food & Groceries,Web,Card,2023-03-15,35-44,6,2024-01-16,0
CUS00187,lost,Lagos,Electronics,Mobile App,Bank Transfer,2023-03-31,25-34,2,2022-03-19,1
CUS00188,at_risk,Lagos,Electronics,Mobile App,Bank Transfer,2023-01-09,25-34,3,2024-01-27,0
CUS00189,champion,Abuja,Beauty & Personal Care,Web,Card,2022-10-15,25-34,25,2024-03-07,0
CUS00190,champion,Kaduna,Electronics,Mobile App,Card,2023-03-01,35-44,24,2024-03-20,0
CUS00191,hibernating,Oyo,Electronics,Web,Card,2022-03-08,25-34,1,2022-10-28,1
CUS00192,loyal,Oyo,Baby & Kids,Web,Bank Transfer,2022-12-20,25-34,9,2024-06-20,0
CUS00193,at_risk,Lagos,Baby & Kids,Web,Pay on Delivery,2022-11-07,25-34,8,2023-11-05,1
CUS00194,at_risk,Delta,Fashion,Web,Pay on Delivery,2023-06-26,25-34,6,2023-09-23,1
CUS00195,loyal,Imo,Books & Media,Mobile App,Pay on Delivery,2022-05-29,18-24,11,2024-05-18,0
CUS00196,lost,Rivers,Food & Groceries,Mobile App,Card,2023-04-26,25-34,1,2022-03-07,1
CUS00197,loyal,Abuja,Fashion,Mobile App,Pay on Delivery,2023-02-11,55+,7,2024-06-18,0
CUS00198,lost,Kano,Baby & Kids,Social Commerce,Card,2022-08-27,25-34,2,2022-03-23,1
CUS00199,at_risk,Oyo,Food & Groceries,Web,Card,2022-01-07,25-34,3,2023-11-10,1
CUS00200,loyal,Oyo,Fashion,Social Commerce,Bank Transfer,2023-06-21,35-44,11,2024-03-12,0
CUS00201,at_risk,Lagos,Sports & Outdoors,Web,Card,2023-04-28,25-34,3,2023-10-19,1
CUS00202,loyal,Lagos,Electronics,Mobile App,Wallet,2022-01-12,55+,17,2024-02-18,0
CUS00203,lost,Kaduna,Fashion,Social Commerce,Card,2022-02-12,35-44,2,2022-05-31,1
CUS00204,loyal,Lagos,Beauty & Personal Care,Mobile App,Card,2022-09-10,35-44,14,2023-12-22,1
CUS00205,loyal,Lagos,Beauty & Personal Care,Mobile App,Card,2023-02-04,18-24,9,2024-06-16,0
CUS00206,lost,Anambra,Home & Kitchen,Mobile App,Bank Transfer,2022-05-04,45-54,2,2022-03-04,1
CUS00207,hibernating,Abuja,Home & Kitchen,Mobile App,Bank Transfer,2023-06-10,18-24,1,2022-11-25,1
CUS00208,lost,Lagos,Electronics,Mobile App,Pay on Delivery,2023-04-16,18-24,1,2022-03-06,1
CUS00209,loyal,Anambra,Home & Kitchen,Mobile App,Card,2022-06-13,25-34,6,2024-04-05,0
CUS00210,at_risk,Kano,Fashion,Mobile App,Card,2022-08-15,25-34,6,2023-07-12,1
CUS00211,hibernating,Kaduna,Baby & Kids,Web,Card,2022-05-09,35-44,1,2022-12-06,1
CUS00212,hibernating,Lagos,Books & Media,Mobile App,Bank Transfer,2022-07-19,25-34,1,2023-02-20,1
CUS00213,loyal,Delta,Food & Groceries,Web,Card,2023-05-20,35-44,6,2024-01-17,0
CUS00214,hibernating,Lagos,Electronics,Mobile App,Bank Transfer,2023-01-01,55+,3,2023-03-30,1
CUS00215,hibernating,Lagos,Electronics,Mobile App,Pay on Delivery,2022-12-18,18-24,2,2022-10-08,1
CUS00216,champion,Kano,Sports & Outdoors,Web,Card,2022-11-25,25-34,29,2024-03-20,0
CUS00217,loyal,Lagos,Electronics,Social Commerce,Bank Transfer,2023-01-05,25-34,9,2024-02-17,0
CUS00218,at_risk,Lagos,Food & Groceries,Social Commerce,Bank Transfer,2022-10-15,35-44,5,2023-06-10,1
CUS00219,loyal,Enugu,Fashion,Mobile App,Bank Transfer,2022-05-04,25-34,7,2024-04-30,0
CUS00220,hibernating,Kano,Electronics,Social Commerce,Pay on Delivery,2022-08-10,45-54,1,2023-05-26,1
CUS00221,lost,Lagos,Beauty & Personal Care,Mobile App,Pay on Delivery,2022-12-26,25-34,1,2022-08-24,1
CUS00222,champion,Abuja,Beauty & Personal Care,Mobile App,Bank Transfer,2023-04-11,18-24,32,2024-02-27,0
CUS00223,lost,Kano,Electronics,Mobile App,Bank Transfer,2023-02-25,35-44,2,2022-01-03,1
CUS00224,loyal,Rivers,Home & Kitchen,Social Commerce,Bank Transfer,2022-05-08,25-34,13,2024-04-03,0
CUS00225,champion,Lagos,Beauty & Personal Care,Social Commerce,Card,2022-08-12,45-54,13,2024-02-10,0
CUS00226,hibernating,Anambra,Home & Kitchen,Web,Card,2023-01-28,25-34,2,2023-04-22,1
CUS00227,hibernating,Lagos,Beauty & Personal Care,Mobile App,Wallet,2023-01-12,35-44,3,2023-04-11,1
CUS00228,loyal,Kaduna,Baby & Kids,Mobile App,Bank Transfer,2022-01-20,35-44,11,2024-05-14,0
CUS00229,champion,Oyo,Electronics,Mobile App,Card,2022-07-07,35-44,31,2024-02-17,0
CUS00230,at_risk,Kano,Home & Kitchen,Mobile App,Bank Transfer,2022-02-24,35-44,8,2023-06-24,1
CUS00231,hibernating,Anambra,Fashion,Web,Bank Transfer,2022-07-30,18-24,1,2022-11-15,1
CUS00232,hibernating,Oyo,Beauty & Personal Care,Mobile App,Bank Transfer,2022-12-16,25-34,3,2023-01-24,1
CUS00233,loyal,Lagos,Beauty & Personal Care,Web,Pay on Delivery,2022-04-28,35-44,6,2024-04-15,0
CUS00234,at_risk,Delta,Electronics,Mobile App,Pay on Delivery,2022-03-16,35-44,4,2023-07-31,1
CUS00235,lost,Lagos,Beauty & Personal Care,Web,Bank Transfer,2023-03-02,45-54,2,2022-03-10,1
CUS00236,hibernating,Lagos,Beauty & Personal Care,Mobile App,Bank Transfer,2022-09-17,18-24,3,2023-01-07,1
CUS00237,hibernating,Lagos,Electronics,Mobile App,Card,2023-06-27,45-54,1,2022-10-06,1
CUS00238,champion,Lagos,Electronics,Mobile App,Card,2022-08-08,35-44,21,2024-04-20,0
CUS00239,loyal,Abuja,Sports & Outdoors,Mobile App,Card,2022-08-16,18-24,9,2024-06-06,0
CUS00240,at_risk,Abuja,Fashion,Web,Card,2023-02-03,18-24,5,2023-10-26,1
CUS00241,champion,Kaduna,Fashion,Web,Pay on Delivery,2022-05-22,35-44,32,2024-04-22,0
CUS00242,champion,Delta,Electronics,Mobile App,Card,2023-01-19,55+,20,2024-05-27,0
CUS00243,loyal,Lagos,Sports & Outdoors,Web,Bank Transfer,2022-12-20,25-34,16,2024-03-17,0
CUS00244,hibernating,Kano,Home & Kitchen,Mobile App,Pay on Delivery,2023-06-01,55+,1,2022-11-05,1
CUS00245,champion,Kaduna,Food & Groceries,Web,Card,2022-10-21,35-44,21,2024-05-09,0
CUS00246,champion,Delta,Electronics,Mobile App,Card,2023-01-18,35-44,31,2024-06-22,0
CUS00247,loyal,Kaduna,Sports & Outdoors,Social Commerce,Card,2022-02-27,35-44,6,2023-12-05,1
CUS00248,champion,Kano,Books & Media,Mobile App,Bank Transfer,2023-03-12,25-34,29,2024-06-26,0
CUS00249,at_risk,Lagos,Electronics,Mobile App,Card,2022-10-24,35-44,7,2023-08-11,1
CUS00250,hibernating,Abuja,Books & Media,Mobile App,Card,2023-04-13,25-34,2,2023-05-21,1
